business_id,name,address,city,state
93629,FIRST WATCH SIMPSON CENTER,,Lexington,KY
57177,FIT FRESH FOODS LLC,,Lexington,KY
90334,FIVE GUYS BURGERS & FRIES,,Lexington,KY
59137,FIVEGUYS,,Lexington,KY
49093,FOLIAGE CHINESE RESTAURANT,,Lexington,KY
76794,"FRESH MARKET, THE",,Lexington,KY
45420,FRIENDSHIP TOWERS @ SAYRE,,Lexington,KY
31101,FRISCH'S #148,,Lexington,KY
94359,FRISCH'S RESTAURANT,,Lexington,KY
67306,FRO-JO'S,,Lexington,KY
65981,FURLONGS,,Lexington,KY
31613,FUSION,,Lexington,KY
31129,GARDEN SPRINGS,,Lexington,KY
31127,GARDEN SPRINGS DAY SCHOOL,,Lexington,KY
64667,GATTI TOWN,,Lexington,KY
30790,GAY BREWER JR CRS @ PICADOME,,Lexington,KY
70021,GENJI LLC. SUSHI BAR,,Lexington,KY
31133,GEORGE'S DELI AND GROCERY,,Lexington,KY
86549,"GIFT BOX &  TEA ROOM, THE",,Lexington,KY
85020,GIGI'S CUPCAKES,,Lexington,KY
92801,"GINKGO TREE, THE",,Lexington,KY
64102,GIOVANNI'S OF LEXINGTON,,Lexington,KY
44790,GIUSEPPE'S,,Lexington,KY
31144,GLENDOVER ELEMENTARY SCHOOL,,Lexington,KY
94895,GLUTEN FREE MIRACLES,,Lexington,KY
63610,GODIVA CHOCOLATIER INC,,Lexington,KY
65285,GOLD STAR,,Lexington,KY
31637,GOLD STAR CHILI,,Lexington,KY
32222,GOLD STAR CHILI,,Lexington,KY
42487,GOLD STAR CHILI,,Lexington,KY
93421,GOLD STAR CHILI,,Lexington,KY
59210,GOLDEN BUFFET,,Lexington,KY
66606,GOLDEN CORRAL,,Lexington,KY
48160,GOLDEN WOK,,Lexington,KY
62652,GOOD FOODS MARKET & CAFE,,Lexington,KY
75079,GOODFELLA'S PIZZA,,Lexington,KY
84546,GOODFELLAS PIZZERIA,,Lexington,KY
70989,GORDON FOODS MARKETPLACE STORE,,Lexington,KY
68357,GOURMET CAFE & CATERING,,Lexington,KY
90207,GRAETER'S ICE CREAM,,Lexington,KY
92948,GRAETER'S ICE CREAM,,Lexington,KY
74801,GRAND TACO,,Lexington,KY
32459,GREAT BAGEL,,Lexington,KY
31180,GREAT CHINA,,Lexington,KY
73927,GREAT HARVEST BREAD CO,,Lexington,KY
64094,GREAT STEAK & POTATO COMPANY,,Lexington,KY
48520,GREAT WALL CHINESE RESTAURANT,,Lexington,KY
31626,GREEN CORNER STAND,,Lexington,KY
82657,GREEN CUSTARD A,,Lexington,KY
82656,GREEN CUSTARD B,,Lexington,KY
38434,GREENBRIER CC SNACK BAR,,Lexington,KY
31187,GREENBRIER COUNTRY CLUB,,Lexington,KY
64695,GREEN'S CAFE,,Lexington,KY
63834,GREENTREE RESTAURANT,,Lexington,KY
32962,"GREY GOOSE, THE",,Lexington,KY
